Latitude,Longitude,Route Number,Type,Crash Severity,Incident Date,Road Name,Score
37.884191,-78.548995,20,Arrest,,9/11/2016,5200 SCOTTSVILLE RD,0.030377569
37.880766,-78.54974,20,Arrest,,4/30/2015,5300 SCOTTSVILLE RD,0.030377569
37.877754,-78.55146,20,Arrest,,5/30/2016,5400 SCOTTSVILLE RD,0.030377569
37.81855,-78.692167,6,Arrest,,3/23/2015,5500 IRISH RD,0.022074779
38.155277,-78.311166,20,Arrest,,11/8/2014,5500 STONY POINT RD,0.030377569
38.189998,-78.398078,29,Arrest,,12/8/2010,5500 SEMINOLE TRAIL,0.012304447
37.888291,-78.708131,29,Arrest,,4/27/2014,5500 MONACAN TRL,0.012304447
37.979675,-78.68622,692,Arrest,,10/26/2012,5700 PLANK RD,0.022813036
38.051181,-78.698479,250,Arrest,,4/13/2014,5700 ROCKFISH GAP TNPK,0.016825849
38.051181,-78.698479,250,Arrest,,1/12/2013,5700 ROCKFISHGAP TNPK,0.016825849
38.051224,-78.696254,250,Arrest,,5/23/2016,5800 ROCKFISH GAP TNPK,0.016825849
37.874083,-78.552667,20,Arrest,,5/6/2012,5800 SCOTTSVILLE RD,0.030377569
38.051224,-78.696254,250,Arrest,,4/28/2012,5800 ROCKFISH GAP TNPK,0.016825849
37.874083,-78.552667,20,Arrest,,7/1/2013,5800 SCOTTSVILLE RD,0.030377569
37.869483,-78.555967,20,Arrest,,2/26/2012,5900 SCOTTSVILLE RD,0.030377569
37.869483,-78.555967,20,Arrest,,9/11/2016,5900 SCOTTSVILLE RD,0.030377569
38.050988,-78.705451,250,Arrest,,12/2/2012,5900 ROCKFISH GAP TNPK,0.016825849
37.869483,-78.555967,20,Arrest,,8/3/2013,5900 SCOTTSVILLE RD,0.030377569
38.09705,-78.45798,29,Arrest,,5/10/2011,600 MONACAN TR,0.012304447
38.09705,-78.45798,29,Arrest,,9/13/2015,600 MONACAN TR,0.012304447
38.003973,-78.481027,20,Arrest,,5/6/2016,600 SCOTTSVILLE RD,0.030377569
38.049517,-78.712827,250,Arrest,,4/5/2015,6100 ROCKFISH GAP TNPK,0.016825849
37.982256,-78.709941,692,Arrest,,9/11/2013,6200 PLANK RD,0.022813036
38.09698,-78.457083,29,Arrest,,4/13/2015,6300 MONACAN TR,0.012304447
38.043113,-78.728745,250,Arrest,,3/14/2014,6600 ROCKFISH GAP TNPK,0.016825849
37.944892,-78.535532,20,Arrest,,2/19/2013,6900 SCOTTSVILLE RD,0.030377569
38.000562,-78.527558,631,Arrest,,10/14/2010,700 OLD LYNCHBURG RD,0.022779613
38.016056,-78.545632,29,Arrest,,12/20/2014,700 MONACAN TRL RD,0.012304447
38.000562,-78.527558,631,Arrest,,1/6/2012,700 OLD LYNCHBURG RD,0.022779613
38.055579,-78.46093,631,Arrest,,4/30/2012,700 RIO RD E,0.022779613
38.000562,-78.527558,631,Arrest,,4/20/2014,700 OLD LYNCHBURG RD,0.022779613
38.039987,-78.746498,250,Arrest,,4/19/2012,7100 ROCKFISH GAP TNPK,0.016825849
38.039987,-78.746498,250,Arrest,,7/20/2015,7100 ROCKFISH GAP TNPK,0.016825849
38.036746,-78.755882,250,Arrest,,1/2/2016,7400 ROCKFISH GAP TNPK,0.016825849
37.818997,-78.508867,20,Arrest,,12/31/2010,7900 SCOTTSVILLE RD,0.030377569
38.020964,-78.777629,692,Arrest,,4/19/2013,7900 PLANK RD,0.022813036
38.003784,-78.481111,20,Arrest,,5/31/2014,800 SCOTTSVILLE RD,0.030377569
38.058458,-78.461325,631,Arrest,,7/23/2012,800 E RIO RD,0.022779613
37.808542,-78.528057,6,Arrest,,4/11/2015,800 IRISH RD/LANGHORN RD,0.022074779
37.808542,-78.528057,6,Arrest,,12/31/2012,800 IRISH RD,0.022074779
37.994331,-78.529789,631,Arrest,,9/1/2016,800 OLD LYNCHBURG RD,0.022779613
38.030465,-78.780701,250,Arrest,,5/29/2013,8100 ROCKFISH GAP TNPK,0.016825849
38.030465,-78.780701,250,Arrest,,6/5/2010,8100 ROCKFISH GAP TNPK,0.016825849
37.811882,-78.501354,20,Arrest,,5/26/2013,8200 SCOTTSVILLE RD,0.030377569
38.031001,-78.809526,250,Arrest,,9/26/2016,8900 ROCKFISH GAP TNPK,0.016825849
38.03928,-78.469878,29,Arrest,,9/7/2014,9000 250 BYPASS,0.012304447
37.804667,-78.498885,20,Arrest,,7/20/2012,900 VALLEY ST,0.030377569
38.062429,-78.491448,29,Arrest,,12/24/2015,900 SEMINOLE TR,0.012304447
38.061664,-78.533443,250,Arrest,,5/16/2010,900 OLD GARTH RD,0.016825849
38.011726,-78.394594,729,Arrest,,11/23/2015,900 N MILTON RD,0.011018371
38.011726,-78.394594,729,Arrest,,4/21/2015,900 N MILTON RD,0.011018371
38.003784,-78.481111,20,Arrest,,4/27/2015,900 SCOTTSVILLE RD,0.030377569
38.038756,-78.829207,250,Arrest,,8/15/2014,9600 ROCKFISH GAP TNPK,0.016825849
