Route.Number,Seg.Number,Latitude,Longitude,Incident.Date,Time,Day,Road.Name,Crash.Severity,Direction,Light.Condition,Roadway.Type,Surface.Type,Type,Density.Score,DD.Check.Score,Seg.Density.Score,Seg.DD.Check.Score,Den.Top20Rt,Den.Top50Seg,DD.Top20Rt,DD.Top50Seg
53,216,37.987969,-78.43944,8/15/2015,12:00:00 AM,Sun,1500 THOMAS JEFFERSON PKWY,,,,,,Arrest,0.008475812,0.4456621,0.001265823,0.073059361,No,Yes,Yes,Yes
601,501,38.091455,-78.542722,6/14/2014,12:00:00 AM,Sat,1500 GARTH RD,,,,,,Arrest,0.017077528,0.306849315,0.000746269,0.03652968,Yes,No,Yes,No
742,1276,38.01491,-78.486101,5/16/2014,12:00:00 AM,Mon,1500 AVON ST EXT,,,,,,Arrest,0.001909091,0.153424658,0.001,0.080365297,No,Yes,Yes,Yes
706,1119,37.980127,-78.553658,9/21/2014,12:00:00 AM,Sat,1500 DUDLEY MTN RD,,,,,,Arrest,0.033333333,0.065753425,0.014814815,0.029223744,No,No,No,No
601,501,38.091455,-78.542722,5/23/2011,12:00:00 AM,Mon,1500 GARTH RD,,,,,,Arrest,0.017077528,0.306849315,0.000746269,0.03652968,Yes,No,Yes,No
631,654,38.077208,-78.471074,1/20/2015,12:00:00 AM,Fri,1500 RIO RD,,,,,,Arrest,0.022779613,1.234703196,0.029545455,0.474885845,Yes,No,Yes,Yes
635,717,38.001027,-78.706591,1/23/2010,12:00:00 AM,Mon,1600 MILLER SCHOOL RD,,,,,,Arrest,0.010202807,0.080365297,0,0.029223744,No,No,No,No
29,118,38.080596,-78.475558,5/30/2012,12:00:00 AM,Mon,1600 SEMINOLE TR,,,,,,Arrest,0.012304447,2.527853881,0.003666667,0.321461187,Yes,Yes,Yes,Yes
631,654,38.077766,-78.474504,4/27/2010,1:07:00 AM,Fri,1600 E RIO RD,,,,,,Arrest,0.022779613,1.234703196,0.029545455,0.474885845,Yes,No,Yes,Yes
743,1292,38.082925,-78.49063,6/6/2015,12:00:00 AM,Fri,1600 EARLYSVILLE RD,,,,,,Arrest,0.014030319,0.745205479,0.00032967,0.021917808,Yes,No,Yes,No
29,118,38.080596,-78.475558,7/12/2015,12:00:00 AM,Thu,1600 SEMINOLE TR,,,,,,Arrest,0.012304447,2.527853881,0.003666667,0.321461187,Yes,Yes,Yes,Yes
789,1401,38.154623,-78.530033,4/9/2015,12:00:00 AM,Mon,1600 BUCK MTN RD,,,,,,Arrest,0.013636364,0.043835616,0,0.021917808,No,No,No,No
743,1292,38.082925,-78.49063,9/14/2010,12:00:00 AM,Sat,1600 EARLYSVILLE RD,,,,,,Arrest,0.014030319,0.745205479,0.00032967,0.021917808,Yes,No,Yes,No
29,118,37.997944,-78.581718,1/17/2012,10:00:00 PM,Tue,1600 MONACAN TR,,,,,,Arrest,0.012304447,2.527853881,0.003666667,0.321461187,Yes,Yes,Yes,Yes
601,502,38.092242,-78.543079,4/30/2016,12:00:00 AM,Mon,1600 GARTH RD,,,,,,Arrest,0.017077528,0.306849315,0.000740741,0.014611872,Yes,No,Yes,No
631,654,38.005364,-78.516656,1/31/2016,12:00:00 AM,Tue,1600 5TH ST EXT,,,,,,Arrest,0.022779613,1.234703196,0.029545455,0.474885845,Yes,No,Yes,Yes
743,1292,38.082925,-78.49063,1/13/2010,12:00:00 AM,Fri,1600 EARLYSVILLE RD,,,,,,Arrest,0.014030319,0.745205479,0.00032967,0.021917808,Yes,No,Yes,No
631,654,38.005364,-78.516656,8/6/2013,12:00:00 AM,Fri,1600 5TH ST EXT,,,,,,Arrest,0.022779613,1.234703196,0.029545455,0.474885845,Yes,No,Yes,Yes
631,654,38.004986,-78.51721,3/19/2011,12:00:00 AM,Thu,1600 5TH ST,,,,,,Arrest,0.022779613,1.234703196,0.029545455,0.474885845,Yes,No,Yes,Yes
29,118,37.997944,-78.581718,10/18/2015,12:00:00 AM,Wed,1600 MONACAN TR,,,,,,Arrest,0.012304447,2.527853881,0.003666667,0.321461187,Yes,Yes,Yes,Yes
29,118,38.080596,-78.475558,5/9/2010,12:00:00 AM,Mon,1600 SEMINOLE TR,,,,,,Arrest,0.012304447,2.527853881,0.003666667,0.321461187,Yes,Yes,Yes,Yes
29,118,38.080596,-78.475558,9/11/2010,12:00:00 AM,Wed,1600 SEMINOLE TR,,,,,,Arrest,0.012304447,2.527853881,0.003666667,0.321461187,Yes,Yes,Yes,Yes
631,654,38.077766,-78.474504,10/9/2010,11:35:00 PM,Mon,1600 E RIO RD,,,,,,Arrest,0.022779613,1.234703196,0.029545455,0.474885845,Yes,No,Yes,Yes
29,118,38.080596,-78.475558,10/29/2010,12:00:00 AM,Sun,1600 SEMINOLE TRAIL,,,,,,Arrest,0.012304447,2.527853881,0.003666667,0.321461187,Yes,Yes,Yes,Yes
29,118,38.080596,-78.475558,5/12/2012,12:00:00 AM,Thu,1600 SEMINOLE TR,,,,,,Arrest,0.012304447,2.527853881,0.003666667,0.321461187,Yes,Yes,Yes,Yes
